id,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,release_date,vote_average,overview,poster_path,budget,runtime,revenue,production_companies
7340,['Brian De Palma'],Sissy Spacek,Piper Laurie,Amy Irving,"['Horror', 'Thriller']",Carrie,1976-10-31,7.3,"Carrie White, a shy and troubled teenage girl who is tormented by her high school peers and her fanatically religious mother, begins to use her powers of telekinesis to exact revenge upon them.",/uc3OvgmbnYaS5Y0BOjSmC1EmSz1.jpg,1800000,98,25878153,['United Artists']
794,['Richard Donner'],Gregory Peck,Lee Remick,David Warner,"['Horror', 'Thriller']",The Omen,1976-06-25,7.4,"Immediately after their miscarriage, the US diplomat Robert Thorn adopts the newborn Damien without the knowledge of his wife. Yet what he doesn’t know is that their new son is the son of the devil.",/p0LcWxOIoBx0MEZMn8tFcrvDXR1.jpg,2800000,111,60922980,"['Mace Neufeld Productions', '20th Century Fox']"
11422,['Jack Smight'],Charlton Heston,Henry Fonda,James Coburn,"['Action', 'Drama', 'History', 'War']",Midway,1976-06-18,6.6,"This war drama depicts the U.S. and Japanese forces in the naval Battle of Midway, which became a turning point for Americans during World War II.",/vCzGV28YFmWubUn1jh8ytagYocR.jpg,0,132,43220000,"['The Mirisch Company', 'Universal Pictures']"
354278,['Gianfranco Baldanello'],Femi Benussi,Lucio Como,Maria Pia Conte,['Comedy'],Che dottoressa ragazzi!,1976-08-12,5.5,"A small Italian village eagerly awaits the long-overdue arrival of a doctor. Everyone expects a male, so when the sexy female doctor Sigrun S. steps out of the bus, it quickly leads to a series of slapstick events.",/zpTaovBx4ZicpcxFLjncSf9dMFb.jpg,0,88,0,['Cinematografica Generale Enterprise']
10747,['Clint Eastwood'],Clint Eastwood,Chief Dan George,Sondra Locke,['Western'],The Outlaw Josey Wales,1976-07-14,7.5,"After avenging his family's brutal murder, Wales is pursued by a pack of soldiers. He prefers to travel alone, but ragtag outcasts are drawn to him - and Wales can't bring himself to leave them unprotected.",/92BZIFPbyCPNhExyFScxA3xF1dy.jpg,3700000,135,31800000,"['Warner Bros. Pictures', 'Malpaso Productions']"
10649,['James Fargo'],Clint Eastwood,Tyne Daly,Harry Guardino,"['Action', 'Crime', 'Thriller']",The Enforcer,1976-12-20,6.8,"Dirty Harry Callahan returns again, this time saddled with a rookie female partner. Together, they must stop a terrorist group consisting of angry Vietnam veterans.",/l0W85fpnsfnpLSSF3D6bKKlH1dD.jpg,9000000,96,46236000,"['Warner Bros. Pictures', 'Malpaso Productions']"
10730,['John Guillermin'],Jeff Bridges,Jessica Lange,Charles Grodin,"['Adventure', 'Fantasy']",King Kong,1976-09-08,6.2,"In this remake of the 1933 classic, an oil company expedition disturbs the peace of a giant ape and brings him back to New York to exploit him.",/paYKhEwUaxKA05vmOfU7FlleTln.jpg,23000000,134,90614445,"['Dino De Laurentiis Company', 'Paramount']"
9385,"['René Goscinny', 'Albert Uderzo', 'Henri Gruel', 'Pierre Watrin']",Roger Carel,Jacques Morel,Henri Labussière,"['Family', 'Animation', 'Comedy', 'Adventure']",The Twelve Tasks of Asterix,1976-06-26,7.4,"Asterix and Obelix depart on an adventure to complete twelve impossible tasks to prove to Caesar that they are as strong as the Gods. You'll roar with laughter as they outwit, outrun, and generally outrage the very people who are trying to prove them ""only human"".",/7cZQZOYZFJcLjZnxWjO5PcUtmDZ.jpg,0,82,0,"['Studios Idéfix', 'Dargaud Films', 'Les Productions René Goscinny']"
12268,['Blake Edwards'],Peter Sellers,Herbert Lom,Leonard Rossiter,"['Comedy', 'Crime']",The Pink Panther Strikes Again,1976-12-15,6.8,"Charles Dreyfus, who has finally cracked over inspector Clouseau's antics, escapes from a mental institution and launches an elaborate plan to get rid of Clouseau once and for all.",/GGCch9LNAKwp4ZADAcNz1hd1dn.jpg,6000000,103,33833201,['Amjo Productions']
40394,['Tinto Brass'],Helmut Berger,Ingrid Thulin,Teresa Ann Savoy,"['Drama', 'War']",Salon Kitty,1976-03-02,5.5,"Kitty runs a brothel in Nazi Germany where the soldiers come to ""relax"". Recording devices have been installed in each room by a power hungry army official who plans to use the information to blackmail Hitler and gain power himself. A girl named Margherita discovers the little ploy and with Kitty's help plans to take on the dangerous task of exposing the conspiracy.",/kPn4HET6WI5MSXoEsfyVmobry2U.jpg,0,130,0,"['Les Productions Fox Europa', 'Coralta Cinematografica', 'Cinema Seven Film']"
6609,['Enzo G. Castellari'],Franco Nero,William Berger,Olga Karlatos,"['Action', 'Western']",Keoma,1976-11-25,6.9,"Half-breed Keoma returns to his border hometown after service in the Civil War and finds it under the control of Caldwell, an ex-Confederate raider, and his vicious gang of thugs. To make matters worse, Keoma's three half-brothers have joined forces with Caldwell, and make it painfully clear that his return is an unwelcome one. Determined to break Caldwell and his brothers' grip on the town, Keoma partners with his father's former ranch hand to exact violent revenge.",/uINuWTHI2B6dtMZwrBKCCSLnUBv.jpg,0,100,0,['Uranos Cinematografica']
761,['Claude Zidi'],Louis de Funès,Coluche,Ann Zacharias,['Comedy'],The Wing or the Thigh?,1976-10-27,7.2,"Charles Duchemin, a well-known gourmet and publisher of a famous restaurant guide, is waging a war against fast food entrepreneur Tri- catel to save the French art of cooking. After having agreed to appear on a talk show to show his skills in naming food and wine by taste, he is confronted with two disasters: his son wants to become a clown rather than a restaurant tester and he, the famous Charles Duchemin, has lost his taste!",/ywkIu5l3iAgPZvLFEVBDYxLouH8.jpg,0,104,0,"['Les Films Christian Fechner', 'TOBIS Film']"
40829,['Charlie Chen Chi-Hwa'],Jackie Chan,Kam Kong,Doris Lung Chun-Erh,['Action'],Shaolin Wooden Men,1976-10-10,6.8,"Little Mute is an orphan traumatized into silence by the death of his father at the hands of a vicious fighting master. Living at the Shaolin monastery, he befriends a dangerous prisoner who teaches him a secret form of deadly kung fu. Seeing his intense determination, other masters share the wisdom of the Gliding Snake and Drunken Master techniques. In one of the most exciting fight scenes ever filmed, Little Mute must run the gauntlet of the famous 108 wooden men in an extreme test of skill and endurance. But if he becomes a master, will he use his unmatched force for redemption or revenge?",/uFbYnHPb5YGgce3Un0bgBgbt8DI.jpg,0,97,0,"['Lo Wei Motion Picture Co.', 'Toei Central Film']"
991,['Nicolas Roeg'],David Bowie,Rip Torn,Candy Clark,"['Drama', 'Science Fiction']",The Man Who Fell to Earth,1976-03-18,6.5,"Thomas Jerome Newton is an alien who has come to Earth in search of water to save his home planet. Aided by lawyer Oliver Farnsworth, Thomas uses his knowledge of advanced technology to create profitable inventions. While developing a method to transport water, Thomas meets Mary-Lou, a quiet hotel clerk, and begins to fall in love with her. Just as he is ready to leave Earth, Thomas is intercepted by the U.S. government, and his entire plan is threatened.",/vNyjTDyUCjydCVH48pwOrY6Odn2.jpg,1500000,138,0,['British Lion Films']
