,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
1086,Gordon Douglas,James Whitmore,James Arness,Joan Weldon,Science Fiction Horror,them!,James Whitmore James Arness Joan Weldon Gordon Douglas Science Fiction Horror
1087,John Halas,Gordon Heath,Maurice Denham,Unkown,Animation Drama,animal farm,Gordon Heath Maurice Denham Unkown John Halas Animation Drama
1088,Alfred Hitchcock,Ray Milland,Grace Kelly,Robert Cummings,Crime Thriller,dial m for murder,Ray Milland Grace Kelly Robert Cummings Alfred Hitchcock Crime Thriller
1089,Elia Kazan,Marlon Brando,Karl Malden,Lee J. Cobb,Crime Drama,on the waterfront,Marlon Brando Karl Malden Lee J. Cobb Elia Kazan Crime Drama
1090,George Cukor,Judy Garland,James Mason,Jack Carson,Drama Music Romance,a star is born,Judy Garland James Mason Jack Carson George Cukor Drama Music Romance
1091,Stanley Donen,Jane Powell,Howard Keel,Jeff Richards,Comedy Drama Western,seven brides for seven brothers,Jane Powell Howard Keel Jeff Richards Stanley Donen Comedy Drama Western
1092,Kenji Mizoguchi,Kinuyo Tanaka,Yoshiaki Hanayagi,Kyōko Kagawa,Drama,sansho the bailiff,Kinuyo Tanaka Yoshiaki Hanayagi Kyōko Kagawa Kenji Mizoguchi Drama
1093,Otto Preminger,Robert Mitchum,Marilyn Monroe,Rory Calhoun,Adventure Western,river of no return,Robert Mitchum Marilyn Monroe Rory Calhoun Otto Preminger Adventure Western
1094,Nicholas Ray,Joan Crawford,Mercedes McCambridge,Sterling Hayden,Drama Western Romance,johnny guitar,Joan Crawford Mercedes McCambridge Sterling Hayden Nicholas Ray Drama Western Romance
1095,Mario Camerini,Kirk Douglas,Silvana Mangano,Anthony Quinn,Adventure Fantasy,ulysses,Kirk Douglas Silvana Mangano Anthony Quinn Mario Camerini Adventure Fantasy
1096,David Lean,Charles Laughton,John Mills,Brenda De Banzie,Comedy Drama,hobson's choice,Charles Laughton John Mills Brenda De Banzie David Lean Comedy Drama
1097,Michael Curtiz,Bing Crosby,Danny Kaye,Rosemary Clooney,Comedy Music Romance,white christmas,Bing Crosby Danny Kaye Rosemary Clooney Michael Curtiz Comedy Music Romance
