,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
786,Sidney Lanfield,Basil Rathbone,Nigel Bruce,Richard Greene,Mystery Thriller Horror,the hound of the baskervilles,Basil Rathbone Nigel Bruce Richard Greene Sidney Lanfield Mystery Thriller Horror
787,Dave Fleischer,Lanny Ross,Sam Parker,Pinto Colvig,Animation Family Action Adventure,gulliver's travels,Lanny Ross Sam Parker Pinto Colvig Dave Fleischer Animation Family Action Adventure
788,Ernst Lubitsch,Greta Garbo,Melvyn Douglas,Ina Claire,Comedy Romance,ninotchka,Greta Garbo Melvyn Douglas Ina Claire Ernst Lubitsch Comedy Romance
789,Rowland V. Lee,Basil Rathbone,Boris Karloff,Bela Lugosi,Horror Science Fiction,son of frankenstein,Basil Rathbone Boris Karloff Bela Lugosi Rowland V. Lee Horror Science Fiction
790,Frank Capra,James Stewart,Jean Arthur,Claude Rains,Comedy Drama,mr. smith goes to washington,James Stewart Jean Arthur Claude Rains Frank Capra Comedy Drama
791,Walter Lang,Shirley Temple,Richard Greene,Anita Louise,Drama Comedy Family,the little princess,Shirley Temple Richard Greene Anita Louise Walter Lang Drama Comedy Family
792,Raoul Walsh,James Cagney,Priscilla Lane,Humphrey Bogart,Crime Drama Thriller,the roaring twenties,James Cagney Priscilla Lane Humphrey Bogart Raoul Walsh Crime Drama Thriller
793,Jean Renoir,Marcel Dalio,Nora Gregor,Paulette Dubost,Drama Comedy Romance,the rules of the game,Marcel Dalio Nora Gregor Paulette Dubost Jean Renoir Drama Comedy Romance
794,Kenji Mizoguchi,Shôtarô Hanayagi,Kōkichi Takada,Gonjurô Kawarazaki,Romance Drama,the story of the last chrysanthemum,Shôtarô Hanayagi Kōkichi Takada Gonjurô Kawarazaki Kenji Mizoguchi Romance Drama
795,Alfred L. Werker,Basil Rathbone,Nigel Bruce,Ida Lupino,Crime Mystery Thriller,the adventures of sherlock holmes,Basil Rathbone Nigel Bruce Ida Lupino Alfred L. Werker Crime Mystery Thriller
796,George Cukor,Norma Shearer,Joan Crawford,Rosalind Russell,Comedy Drama,the women,Norma Shearer Joan Crawford Rosalind Russell George Cukor Comedy Drama
