,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
1509,Terry Gilliam,Graham Chapman,John Cleese,Eric Idle,Adventure Comedy Fantasy,monty python and the holy grail,Graham Chapman John Cleese Eric Idle Terry Gilliam Adventure Comedy Fantasy
1510,Silvio Amadio,Gloria Guida,Nino Castelnuovo,Anita Sanders,Drama Romance,that malicious age,Gloria Guida Nino Castelnuovo Anita Sanders Silvio Amadio Drama Romance
1511,David Greene,Richard Chamberlain,Trevor Howard,Louis Jourdan,Adventure Action Drama History TV Movie,the count of monte-cristo,Richard Chamberlain Trevor Howard Louis Jourdan David Greene Adventure Action Drama History TV Movie
1512,Just Jaeckin,Corinne Cléry,Udo Kier,Alain Noury,Drama,the story of o,Corinne Cléry Udo Kier Alain Noury Just Jaeckin Drama
1513,Andrei Tarkovsky,Margarita Terekhova,Ignat Daniltsev,Larisa Tarkovskaya,Drama History,mirror,Margarita Terekhova Ignat Daniltsev Larisa Tarkovskaya Andrei Tarkovsky Drama History
1514,Blake Edwards,Peter Sellers,Christopher Plummer,Catherine Schell,Mystery Comedy Crime,the return of the pink panther,Peter Sellers Christopher Plummer Catherine Schell Blake Edwards Mystery Comedy Crime
1515,Sidney Lumet,Al Pacino,John Cazale,Charles Durning,Crime Drama Thriller,dog day afternoon,Al Pacino John Cazale Charles Durning Sidney Lumet Crime Drama Thriller
1516,Sydney Pollack,Robert Redford,Faye Dunaway,Cliff Robertson,Thriller Mystery Adventure,three days of the condor,Robert Redford Faye Dunaway Cliff Robertson Sydney Pollack Thriller Mystery Adventure
1517,Gianfranco Baldanello,Karin Well,Gianluigi Chirizzi,Lidia Costanzo,Comedy,quella provincia maliziosa,Karin Well Gianluigi Chirizzi Lidia Costanzo Gianfranco Baldanello Comedy
1518,Stanley Kubrick,Ryan O'Neal,Marisa Berenson,Patrick Magee,Drama Romance War,barry lyndon,Ryan O'Neal Marisa Berenson Patrick Magee Stanley Kubrick Drama Romance War
1519,Jim Sharman,Tim Curry,Susan Sarandon,Barry Bostwick,Comedy Science Fiction Fantasy Horror,the rocky horror picture show,Tim Curry Susan Sarandon Barry Bostwick Jim Sharman Comedy Science Fiction Fantasy Horror
1520,John G. Avildsen,Sylvester Stallone,Talia Shire,Burt Young,Drama Romance,rocky,Sylvester Stallone Talia Shire Burt Young John G. Avildsen Drama Romance
1521,Pier Paolo Pasolini,Paolo Bonacelli,Giorgio Cataldi,Umberto P. Quintavalle,Drama War Horror,"salò, or the 120 days of sodom",Paolo Bonacelli Giorgio Cataldi Umberto P. Quintavalle Pier Paolo Pasolini Drama War Horror
1522,Martin Scorsese,Robert De Niro,Jodie Foster,Albert Brooks,Crime Drama,taxi driver,Robert De Niro Jodie Foster Albert Brooks Martin Scorsese Crime Drama
1523,Bertrand Blier,Jean-Pierre Marielle,Jean Rochefort,Brigitte Fossey,Comedy,femmes fatales,Jean-Pierre Marielle Jean Rochefort Brigitte Fossey Bertrand Blier Comedy
1524,Catherine Breillat,Charlotte Alexandra,Hiram Keller,Rita Maiden,Drama,a real young girl,Charlotte Alexandra Hiram Keller Rita Maiden Catherine Breillat Drama
1525,Nagisa Ōshima,Tatsuya Fuji,Eiko Matsuda,Aoi Nakajima,Drama Romance,in the realm of the senses,Tatsuya Fuji Eiko Matsuda Aoi Nakajima Nagisa Ōshima Drama Romance
1526,Brian De Palma,Sissy Spacek,Piper Laurie,Amy Irving,Horror Thriller,carrie,Sissy Spacek Piper Laurie Amy Irving Brian De Palma Horror Thriller
1527,Richard Donner,Gregory Peck,Lee Remick,David Warner,Horror Thriller,the omen,Gregory Peck Lee Remick David Warner Richard Donner Horror Thriller
1528,Jack Smight,Charlton Heston,Henry Fonda,James Coburn,Action Drama History War,midway,Charlton Heston Henry Fonda James Coburn Jack Smight Action Drama History War
1529,Gianfranco Baldanello,Femi Benussi,Lucio Como,Maria Pia Conte,Comedy,che dottoressa ragazzi!,Femi Benussi Lucio Como Maria Pia Conte Gianfranco Baldanello Comedy
1530,Clint Eastwood,Clint Eastwood,Chief Dan George,Sondra Locke,Western,the outlaw josey wales,Clint Eastwood Chief Dan George Sondra Locke Clint Eastwood Western
1531,James Fargo,Clint Eastwood,Tyne Daly,Harry Guardino,Action Crime Thriller,the enforcer,Clint Eastwood Tyne Daly Harry Guardino James Fargo Action Crime Thriller
1532,John Guillermin,Jeff Bridges,Jessica Lange,Charles Grodin,Adventure Fantasy,king kong,Jeff Bridges Jessica Lange Charles Grodin John Guillermin Adventure Fantasy
1533,René Goscinny,Roger Carel,Jacques Morel,Henri Labussière,Family Animation Comedy Adventure,the twelve tasks of asterix,Roger Carel Jacques Morel Henri Labussière René Goscinny Family Animation Comedy Adventure
1534,Blake Edwards,Peter Sellers,Herbert Lom,Leonard Rossiter,Comedy Crime,the pink panther strikes again,Peter Sellers Herbert Lom Leonard Rossiter Blake Edwards Comedy Crime
1535,Tinto Brass,Helmut Berger,Ingrid Thulin,Teresa Ann Savoy,Drama War,salon kitty,Helmut Berger Ingrid Thulin Teresa Ann Savoy Tinto Brass Drama War
1536,Enzo G. Castellari,Franco Nero,William Berger,Olga Karlatos,Action Western,keoma,Franco Nero William Berger Olga Karlatos Enzo G. Castellari Action Western
1537,Claude Zidi,Louis de Funès,Coluche,Ann Zacharias,Comedy,the wing or the thigh?,Louis de Funès Coluche Ann Zacharias Claude Zidi Comedy
1538,Charlie Chen Chi-Hwa,Jackie Chan,Kam Kong,Doris Lung Chun-Erh,Action,shaolin wooden men,Jackie Chan Kam Kong Doris Lung Chun-Erh Charlie Chen Chi-Hwa Action
1539,Nicolas Roeg,David Bowie,Rip Torn,Candy Clark,Drama Science Fiction,the man who fell to earth,David Bowie Rip Torn Candy Clark Nicolas Roeg Drama Science Fiction
1540,George Lucas,Mark Hamill,Harrison Ford,Carrie Fisher,Adventure Action Science Fiction,star wars,Mark Hamill Harrison Ford Carrie Fisher George Lucas Adventure Action Science Fiction
1541,Jesús Franco,Muriel Montossé,Ada Tauler,Karine Gambier,Crime Drama,call of the blonde goddess,Muriel Montossé Ada Tauler Karine Gambier Jesús Franco Crime Drama
1542,Tulio Demicheli,Andrés García,Rossy Mendoza,George Hilton,Thriller,the call of sex,Andrés García Rossy Mendoza George Hilton Tulio Demicheli Thriller
1543,Richard Attenborough,Dirk Bogarde,James Caan,Michael Caine,Drama History War,a bridge too far,Dirk Bogarde James Caan Michael Caine Richard Attenborough Drama History War
1544,Steven Spielberg,Richard Dreyfuss,François Truffaut,Teri Garr,Science Fiction Drama,close encounters of the third kind,Richard Dreyfuss François Truffaut Teri Garr Steven Spielberg Science Fiction Drama
1545,Dario Argento,Jessica Harper,Stefania Casini,Flavio Bucci,Horror,suspiria,Jessica Harper Stefania Casini Flavio Bucci Dario Argento Horror
